request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_188,81.57,not_affordable,not_recommended,none,,none,Do not make this payment by 4 March 2025. None of the eligible options keeps the EUR 900 minimum protected.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,pay EUR 488.4 today. This leaves at least EUR 491.85 available.
request_190,508.63,affordable_later,wait,2025-02-15:2557.5,2025-02-15,none,"Wait until 15 February 2025, then pay EUR 2557.5 in full. Paying sooner would put the EUR 1600 minimum at risk."
request_191,664.4,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,pay EUR 664.4 today. This leaves at least EUR 598.55 available.
request_192,50.98,not_affordable,not_recommended,none,,none,Do not make this payment by 11 May 2026. None of the eligible options keeps the USD 1000 minimum protected.
request_193,77.27,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-05-15,none,"Use 3 installments of EUR 420.23, starting 21 March 2024. This leaves at least EUR 1095.73 available."
request_194,26194.58,affordable_later,wait,2025-10-23:132800,2025-10-23,none,"Wait until 23 October 2025, then pay INR 132800 in full. Paying sooner would put the INR 113600 minimum at risk."
request_195,947.79,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-02-15,none,"Use 3 installments of EUR 405.74, starting 9 January 2026. This leaves at least EUR 739.44 available."
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,pay EUR 762.3 today. This leaves at least EUR 637.65 available.
request_197,50939000,affordable_with_plan,installments,2025-11-19:17658853.33|2025-12-17:17658853.33|2026-01-14:17658853.33,2025-11-05,none,"Use 3 installments of IDR 17658853.33, starting 19 November 2025. This leaves at least IDR 26048491.68 available."
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,pay INR 185800 today. This leaves at least INR 158563.92 available.
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Use 3 installments of IDR 8206986.67, starting 7 September 2024. This leaves at least IDR 28651417.58 available."
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,pay IDR 21717000 today. This leaves at least IDR 23862903.53 available.
request_201,21792581.01,affordable_with_plan,partial_payment,2026-04-03:21792581.01|2026-04-03:2204418.99,2026-04-03,none,Pay IDR 21792581.01 now and IDR 2204418.99 on 3 April 2026. This keeps the IDR 17304500 minimum protected.
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,pay INR 123900 today. This leaves at least INR 165242.61 available.
request_203,962.02,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"Use 3 installments of EUR 499.93, starting 10 May 2025. This leaves at least EUR 862.23 available."
request_204,555.13,affordable_later,wait,2026-01-15:588.74,2026-01-15,none,"Wait until 15 January 2026, then pay EUR 588.74 in full. Paying sooner would put the EUR 1300 minimum at risk."
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,pay IDR 10621000 today. This leaves at least IDR 15811543.02 available.
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Use 3 installments of EUR 486.96, starting 3 August 2025. This leaves at least EUR 4077.85 available."
request_207,5131.7,affordable_later,wait,2026-07-15:11830,2026-07-15,none,"Wait until 15 July 2026, then pay ZAR 11830 in full. Paying sooner would put the ZAR 13600 minimum at risk."
request_208,3599239.45,affordable_later,wait,2024-06-15:4413000,2024-06-15,none,"Wait until 15 June 2024, then pay IDR 4413000 in full. Paying sooner would put the IDR 10470700 minimum at risk."
request_209,1356.54,not_affordable,not_recommended,none,,none,Do not make this payment by 25 November 2025. None of the eligible options keeps the ZAR 18400 minimum protected.
request_210,605.62,affordable_with_plan,partial_payment,2026-04-06:605.62|2026-04-15:754.4,2026-04-15,none,Pay USD 605.62 now and USD 754.4 on 15 April 2026. This keeps the USD 2000 minimum protected.
request_211,314.68,affordable_later,wait,2024-11-15:1788.6,2024-11-15,none,"Wait until 15 November 2024, then pay EUR 1788.6 in full. Paying sooner would put the EUR 1500 minimum at risk."
request_212,2651579.65,not_affordable,not_recommended,none,,none,Do not make this payment by 28 February 2025. None of the eligible options keeps the IDR 29579800 minimum protected.
request_213,2168.59,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,reduce_to:event_19550:34.8,"Use 3 installments of USD 1165.63, starting 21 January 2026. This leaves at least USD 959.26 available."
request_214,33588.21,affordable_with_plan,partial_payment,2024-12-04:33588.21|2025-01-15:36161.79,2025-01-15,none,Pay INR 33588.21 now and INR 36161.79 on 15 January 2025. This keeps the INR 174900 minimum protected.
request_215,27233.04,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,"Use 3 installments of ZAR 10395.15, starting 9 May 2025. This leaves at least ZAR 11747.59 available."
request_216,502.5,affordable_later,wait,2026-09-15:3332.4,2026-09-15,none,"Wait until 15 September 2026, then pay USD 3332.4 in full. Paying sooner would put the USD 1800 minimum at risk."
request_217,19179.37,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-05-15,none,"Use 3 installments of ZAR 12889.07, starting 19 March 2024. This leaves at least ZAR 26695.07 available."
request_218,22932984.03,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,"Use 3 installments of IDR 21195893.33, starting 7 August 2025. This leaves at least IDR 37196972.1 available."
request_219,637.97,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-05-15,none,"Use 3 installments of EUR 580.01, starting 7 April 2026. This leaves at least EUR 1161.29 available."
request_220,98.64,not_affordable,not_recommended,none,,none,Do not make this payment by 3 July 2024. None of the eligible options keeps the EUR 1100 minimum protected.
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,pay INR 109800 today. This leaves at least INR 99497.34 available.
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,pay ZAR 34078 today. This leaves at least ZAR 81266 available.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,pay EUR 898.7 today. This leaves at least EUR 1011.77 available.
request_224,9681823.64,affordable_with_plan,partial_payment,2025-02-04:9681823.64|2025-02-15:645176.36,2025-02-15,none,Pay IDR 9681823.64 now and IDR 645176.36 on 15 February 2025. This keeps the IDR 22187600 minimum protected.
request_225,9902088.78,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-09-15,none,"Use 3 installments of IDR 7647120, starting 20 July 2026. This leaves at least IDR 17640565.72 available."
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,pay INR 157000 today. This leaves at least INR 239917.66 available.
request_227,4606.95,not_affordable,not_recommended,none,,none,Do not make this payment by 20 June 2025. None of the eligible options keeps the INR 62900 minimum protected.
request_228,2277463.02,not_affordable,not_recommended,none,,none,Do not make this payment by 30 April 2026. None of the eligible options keeps the IDR 26191200 minimum protected.
request_229,366.29,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-15,none,"Use 3 installments of EUR 529.29, starting 18 March 2024. This leaves at least EUR 980.68 available."
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.6,2025-08-06,none,pay EUR 3537.6 today. This leaves at least EUR 3971.5 available.
request_231,31941.92,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-02-15,none,"Use 3 installments of ZAR 12378.08, starting 6 January 2026. This leaves at least ZAR 25298.64 available."
request_232,559.39,affordable_later,wait,2024-08-15:1970.1,2024-08-15,none,"Wait until 15 August 2024, then pay EUR 1970.1 in full. Paying sooner would put the EUR 2400 minimum at risk."
request_233,3877629.31,affordable_with_plan,partial_payment,2025-11-07:3877629.31|2025-12-15:2363370.69,2025-12-15,none,Pay IDR 3877629.31 now and IDR 2363370.69 on 15 December 2025. This keeps the IDR 10365700 minimum protected.
request_234,189.2,affordable_later,wait,2026-09-15:1213.3,2026-09-15,none,"Wait until 15 September 2026, then pay EUR 1213.3 in full. Paying sooner would put the EUR 700 minimum at risk."
request_235,967.2,affordable_now,full_payment,2024-09-06:967.2,2024-09-06,none,pay USD 967.2 today. This leaves at least USD 807.73 available.
request_236,5509647.52,not_affordable,not_recommended,none,,none,Do not make this payment by 23 February 2025. None of the eligible options keeps the IDR 16768600 minimum protected.
request_237,18789915.92,affordable_with_plan,full_payment,2026-04-05:23826000,2026-04-05,reduce_to:event_21812:382850,"Adjust the selected flexible spending, then pay IDR 23826000 today. This leaves at least IDR 18543965.92 available."
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,"Use 3 installments of USD 230.05, starting 7 December 2024. This leaves at least USD 1463.81 available."
request_239,642,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,pay USD 642 today. This leaves at least USD 681.35 available.
request_240,15701.07,not_affordable,not_recommended,none,,none,Do not make this payment by 20 March 2026. None of the eligible options keeps the INR 52800 minimum protected.
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,"Use 3 installments of IDR 7298026.67, starting 17 March 2024. This leaves at least IDR 19781628.05 available."
request_242,46.38,not_affordable,not_recommended,none,,none,Do not make this payment by 25 August 2025. None of the eligible options keeps the EUR 600 minimum protected.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,pay ZAR 17468 today. This leaves at least ZAR 23087.3 available.
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,pay ZAR 49918 today. This leaves at least ZAR 56659.83 available.
request_245,0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 January 2026. None of the eligible options keeps the INR 94600 minimum protected.
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Use 3 installments of ZAR 22216.48, starting 3 April 2026. This leaves at least ZAR 38674.29 available."
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,pay EUR 1059.3 today. This leaves at least EUR 1449.48 available.
request_248,958.96,affordable_with_plan,partial_payment,2025-02-07:958.96|2025-04-15:1006.64,2025-04-15,none,Pay USD 958.96 now and USD 1006.64 on 15 April 2025. This keeps the USD 1300 minimum protected.
request_249,111.23,affordable_later,wait,2026-03-15:643.2,2026-03-15,none,"Wait until 15 March 2026, then pay USD 643.2 in full. Paying sooner would put the USD 600 minimum at risk."
request_250,15045.9,not_affordable,not_recommended,none,,none,Do not make this payment by 18 January 2025. None of the eligible options keeps the ZAR 35300 minimum protected.
request_251,110.18,not_affordable,not_recommended,none,,none,Do not make this payment by 6 June 2025. None of the eligible options keeps the EUR 1300 minimum protected.
request_252,4511929.26,affordable_later,wait,2026-09-15:28082000,2026-09-15,none,"Wait until 15 September 2026, then pay IDR 28082000 in full. Paying sooner would put the IDR 15152200 minimum at risk."
request_253,1258.56,affordable_with_plan,installments,2024-03-21:984.6|2024-04-21:984.6|2024-05-22:984.6,2024-05-15,none,"Use 3 installments of EUR 984.6, starting 21 March 2024. This leaves at least EUR 2294.34 available."
request_254,583.59,affordable_later,wait,2025-10-15:3535.2,2025-10-15,none,"Wait until 15 October 2025, then pay USD 3535.2 in full. Paying sooner would put the USD 2500 minimum at risk."
request_255,0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 June 2026. None of the eligible options keeps the IDR 9813900 minimum protected.
request_256,156477.11,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-07-15,none,"Use 3 installments of INR 75816, starting 10 June 2024. This leaves at least INR 182352.48 available."
request_257,401.35,affordable_later,wait,2026-01-15:1352.4,2026-01-15,none,"Wait until 15 January 2026, then pay USD 1352.4 in full. Paying sooner would put the USD 1600 minimum at risk."
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,pay USD 1113.6 today. This leaves at least USD 606.43 available.
request_259,192.9,affordable_later,wait,2024-11-15:935,2024-11-15,none,"Wait until 15 November 2024, then pay EUR 935 in full. Paying sooner would put the EUR 600 minimum at risk."
request_260,5539348.36,not_affordable,not_recommended,none,,none,Do not make this payment by 18 April 2025. None of the eligible options keeps the IDR 20727700 minimum protected.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,pay EUR 1830.4 today. This leaves at least EUR 1846.29 available.
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,pay IDR 9236000 today. This leaves at least IDR 58551807.01 available.
request_263,0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 June 2025. None of the eligible options keeps the ZAR 24100 minimum protected.
request_264,18458.19,affordable_later,wait,2026-06-15:111300,2026-06-15,none,"Wait until 15 June 2026, then pay INR 111300 in full. Paying sooner would put the INR 59500 minimum at risk."
request_265,0,affordable_with_plan,full_payment,2024-03-06:45970,2024-03-06,stop:event_24383,"Adjust the selected flexible spending, then pay INR 45970 today. This leaves at least INR 125986.26 available."
request_266,712.79,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-09-15,none,"Use 3 installments of EUR 324.13, starting 3 August 2025. This leaves at least EUR 893.84 available."
request_267,1620.22,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-03-15,none,"Use 3 installments of EUR 667.33, starting 8 January 2026. This leaves at least EUR 1415.64 available."
request_268,1053.03,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,"Use 3 installments of EUR 841.22, starting 14 June 2024. This leaves at least EUR 1611.81 available."
request_269,7691.99,affordable_later,wait,2025-12-15:15490,2025-12-15,none,"Wait until 15 December 2025, then pay ZAR 15490 in full. Paying sooner would put the ZAR 23100 minimum at risk."
request_270,146.97,not_affordable,not_recommended,none,,none,Do not make this payment by 30 August 2026. None of the eligible options keeps the USD 1400 minimum protected.
request_271,16693.79,affordable_later,wait,2024-11-15:91300,2024-11-15,none,"Wait until 15 November 2024, then pay INR 91300 in full. Paying sooner would put the INR 58200 minimum at risk."
request_272,5488122.14,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-15,none,"Use 3 installments of IDR 4709466.67, starting 12 February 2025. This leaves at least IDR 8287255.47 available."
request_273,8728006.28,affordable_with_plan,partial_payment,2026-04-07:8728006.28|2026-04-15:7132993.72,2026-04-15,none,Pay IDR 8728006.28 now and IDR 7132993.72 on 15 April 2026. This keeps the IDR 18774600 minimum protected.
request_274,2049.89,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2024-12-15,none,"Use 3 installments of EUR 940.75, starting 4 December 2024. This leaves at least EUR 1837.84 available."
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,pay IDR 15884000 today. This leaves at least IDR 14988985.07 available.
